"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT11"
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-01",,"0.06",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-03",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-10",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-11",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-13",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-14",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-16",,"0.22",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-18",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-21",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-01-26",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-02",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-03",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-04",,"0.06",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-05",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-06",,"0.00",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-07",,"0.04",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-11",,"0.01",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-12",,"0.06",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-14",,"0.03",,,,,,,,,,,,
"US1TXTV0255","AUSTIN 9.0 SW, TX US","2018-02-15",,"0.00",,,,,,,,,,,,
