"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-10",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-11",,"1.10",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-12",,"0.03",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-13",,"1.09",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-14",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-15",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-16",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-17",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-18",,"0.04",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-19",,"3.17",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-20",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-21",,"0.02",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-22",,"0.08",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-23",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-24",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-25",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-26",,"1.27",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-27",,"0.80",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-28",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-29",,"0.37",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-09-30",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-01",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-02",,"0.34",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-03",,"0.72",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-04",,"0.01",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-05",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-06",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-07",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-08",,"0.02",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-09",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-10",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-11",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-12",,"1.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-13",,"0.37",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-14",,"0.14",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-15",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-16",,"0.11",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-17",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-18",,"0.01",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-19",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-20",,"0.00","0.0",,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-21",,"0.03",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-22",,"0.06",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-23",,"0.00",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-24",,"0.42",,,,,,,,,,,,,
"US1MANF0039","WEYMOUTH 2.3 N, MA US","2018-10-25",,"0.02",,,,,,,,,,,,,
