"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-01",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-02",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-03",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-04",,"0.39",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-05",,"1.20",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-06",,"0.23",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-07",,"0.27",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-09",,"0.11",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-10",,"0.13",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-12",,"0.91",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-13",,"0.15",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-14",,"0.01",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-15",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-16",,"0.16",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-17",,"0.15",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-18",,"0.98",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-19",,"1.27",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-21",,"1.05",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-22",,"1.63",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-24",,"2.03",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-25",,"0.74",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-26",,"0.42",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-27",,"0.41",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-28",,"0.66",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-29",,"0.60",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-30",,"1.65",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-01-31",,"0.03",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-02-01",,"0.06",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-02-02",,"0.38",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-02-03",,"0.10",,,,,,,,,,,,
